B197706051359A,1977-06-05,13:59:21, 7,  37.88,   14.46,   8.0,4.9,0.0,NORTHERN SICILY          ,NEI,  0,    0,   0,  5,   14,  35,  0,    0,   0, 1,  6.0, 1.2,  38.11, 0.05,   14.94, 0.07,  10.0,  0.0,FIX  , 1.00,D-B197706051359A,23, -5.670, 0.480,  6.700, 0.410, -1.030, 0.330,  6.770, 1.270, -4.450, 0.990,  0.720, 0.250,   0.982, 25,   7,   0.083, 19, 107,  -1.064, 57, 230,   1.023,  61, 26, -139, 293, 73,  -70,4.61,D,A
B197706280712A,1977-06-28,07:12:49, 2,  38.63,   14.71, 261.0,5.3,0.0,SICILY ITALY             ,MLI,  0,    0,   0,  6,   17,  45,  0,    0,   0, 1,  3.3, 0.7,  38.52, 0.12,   14.39, 0.07, 249.0,  3.9,FREE , 1.50,D-B197706280712A,24, -7.360, 0.930,  0.290, 1.840,  7.060, 1.180, -7.660, 0.770,  0.700, 1.000,  2.340, 1.120,   0.809, 10, 117,   0.418, 31, 213,  -1.227, 57,  10,   1.018, 175, 44, -137,  51, 62,  -55,5.28,D,B
B197708152110A,1977-08-15,21:10:32, 5,  38.85,   16.98,  54.0,5.0,0.0,SOUTHERN ITALY           ,MLI,  0,    0,   0,  4,   10,  45,  0,    0,   0, 1,  7.5, 1.5,  38.85, 0.00,   16.98, 0.00,  39.5, 11.3,FREE , 1.30,D-B197708152110A,23,  6.190, 1.250, -7.860, 2.130,  1.680, 1.010,  2.950, 1.700,  0.770, 1.090,  3.100, 1.150,   7.160, 69, 313,   2.070, 18, 102,  -9.230, 10, 195,   8.200, 307, 38,  120,  90, 58,   68,5.21,D,A
B197708280945A,1977-08-28,09:45:14, 5,  38.21,    8.21,  10.0,5.1,5.0,WESTERN MEDITERRANEAN    ,MLI,  0,    0,   0,  5,   14,  45,  0,    0,   0, 1,  8.8, 0.8,  38.21, 0.00,    8.21, 0.00,  15.0,  0.0,FIX  , 1.90,D-B197708280945A,24,  1.230, 0.170, -1.430, 0.250,  0.200, 0.100,  0.880, 0.200,  0.500, 0.160, -0.780, 0.090,   1.550, 72, 314,   0.500,  7,  65,  -2.050, 17, 157,   1.800, 258, 29,  104,  62, 62,   82,5.44,D,A
R197709162348A,1977-09-16,23:48:08, 1,  46.33,   13.00,  21.2,5.1,0.0,NORTHERN ITALY           ,ISC,  0,    0,   0,  8,   15,  45,  0,    0,   0, 1,  1.1, 0.5,  46.14, 0.03,   13.01, 0.05,  10.0,  0.0,FIX  , 1.00,D-R197709162348A,23,  9.270, 0.340, -7.140, 0.340, -2.130, 0.210,  4.100, 0.920,  3.810, 1.880,  0.920, 0.190,  11.370, 69, 308,  -3.270, 16,  86,  -8.100, 13, 180,   9.740, 291, 35,  119,  77, 60,   72,5.26,D,A
B197712301735A,1977-12-30,17:35:08, 8,  40.00,   15.42, 283.0,5.6,0.0,SOUTHERN ITALY           ,MLI,  0,    0,   0,  7,   20,  45,  0,    0,   0, 1,  4.2, 0.4,  40.15, 0.06,   15.46, 0.02, 285.8,  1.8,FREE , 2.00,D-B197712301735A,24, -4.590, 0.270,  6.860, 0.480, -2.270, 0.250, -2.820, 0.170, -5.770, 0.180,  0.960, 0.170,   8.130, 19, 164,   1.340, 32,  62,  -9.470, 52, 279,   8.800, 293, 39,  -32,  49, 71, -124,5.90,D,A
B197803111920A,1978-03-11,19:20:49, 0,  38.10,   16.03,  33.0,5.6,5.0,SOUTHERN ITALY           ,MLI,  0,    0,   0,  8,   19,  45,  0,    0,   0, 1,  2.7, 0.9,  38.10, 0.00,   16.03, 0.00,  15.0,  0.0,FIX  , 1.50,D-B197803111920A,23, -7.890, 0.800,  7.800, 1.190,  0.090, 0.540, -1.160, 1.490, -2.030, 1.080,  1.700, 0.560,   8.310,  6, 167,   0.100, 12,  76,  -8.410, 77, 282,   8.360, 270, 41,  -72,  66, 52, -105,5.22,D,A
B197804152333A,1978-04-15,23:33:47, 2,  38.39,   15.07,  14.0,5.5,5.7,SICILY ITALY             ,MLI,  0,    0,   0, 10,   29,  45,  0,    0,   0, 1,  8.6, 0.3,  37.77, 0.07,   14.63, 0.04,  33.9,  4.0,FREE , 3.00,D-B197804152333A,25, -0.180, 0.080, -1.120, 0.130,  1.300, 0.060, -0.450, 0.080, -0.500, 0.100, -0.010, 0.050,   1.460, 18,  93,  -0.140, 60, 217,  -1.320, 23, 355,   1.390, 135, 60, -176,  43, 86,  -30,6.03,D,A
S197807300519A,1978-07-30,05:19:24, 2,  42.65,   12.46,  10.0,4.7,0.0,CENTRAL ITALY            ,Nei,  0,    0,   0,  4,    8,  35,  0,    0,   0, 1,  5.4, 0.6,  42.61, 0.30,   12.43, 0.07,  10.0,  0.0,FIX  , 1.00,D-S197807300519A,22, -3.340, 1.630,  0.090, 1.940,  3.250, 0.360,  1.720, 0.900, -1.110, 1.810,  0.490, 0.190,   3.450,  8,  94,   0.800, 23,   1,  -4.250, 66, 203,   3.850, 209, 42,  -55, 345, 57, -117,4.33,D,A
S197812051539A,1978-12-05,15:39:04, 0,  44.46,   11.99,  35.0,4.6,0.0,NORTHERN ITALY           ,Nei,  0,    0,   0,  3,    7,  35,  0,    0,   0, 1,  2.1, 1.3,  44.29, 0.06,   12.07, 0.08,  15.0,  0.0,FIX  , 1.00,D-S197812051539A,23,  0.210, 0.690,  1.740, 0.610, -1.950, 0.580, -7.570, 0.960, -2.380, 1.210, -6.520, 0.220,   0.971, 33, 203,   0.133, 41,  79,  -1.103, 32, 317,   1.037, 350, 41,    0, 260, 90,  131,4.61,D,A
