    LON       LAT     U    V      Z      SLIP[m]      SLIP[m]       RISE[sec]     TRUP[sec]   PSV[m/s] SSV[m/s] DSV[m/s] RAKE[°]
   
==================================================================================================================

  13.4540224  42.2681198  10.5 -14.5 -11.7307463  0.123300001	      1.6683   5.7472  0.2525  0.0435  -0.2487   80.0787811
  13.4852028  42.2466431  14. -14.5 -11.7307463  0.196099997	      2.1835   7.6776  0.3436  0.1024  -0.3280   72.6618958
  13.5163832  42.2251701  17.5 -14.5 -11.7307463  0.121299997	      1.7601   9.0546  0.2406  0.0295  -0.2388   82.9576797
  13.5475645  42.2036934  21. -14.5 -11.7307463  0.		      0.7500   11.7954 0.0000  0.0000  0.0000	-29.894804
  13.2810287  42.3619614 -7. -18. -14.5623064  0.		      0.7500   4.7164  0.0000  0.0000  0.0000	-29.894804
  13.3122101  42.3404846 -3.5 -18. -14.5623064  0.		      0.7500   5.1464  0.0000  0.0000  0.0000	-29.894804
  13.3433905  42.3190117  0. -18. -14.5623064  0.		      0.7500   3.9477  0.0000  0.0000  0.0000	-29.894804
  13.3745708  42.2975349  3.5 -18. -14.5623064  0.		      0.7500   4.9592  0.0000  0.0000  0.0000	-29.894804
  13.4057512  42.2760582  7. -18. -14.5623064  0.		      0.7500   7.3800  0.0000  0.0000  0.0000	-29.894804
  13.4369316  42.2545853  10.5 -18. -14.5623064  0.		      0.7500   6.5105  0.0000  0.0000  0.0000	-29.894804
  13.468112  42.2331085  14. -18. -14.5623064  0.		      0.7500   8.3432  0.0000  0.0000  0.0000	-29.894804
  13.4992933  42.2116318  17.5 -18. -14.5623064  0.		      0.7500   9.1408  0.0000  0.0000  0.0000	-29.894804
  13.5304737  42.1901588  21. -18. -14.5623064  0.		      0.7500   11.1693 0.0000  0.0000  0.0000	-29.894804
